Name,Rating,Pace,Shooting,Passing,Dribbling,Defense,Physical,Vision,Reflex,Composure,Jumping,Foot,Age
Yeni Ngbakoto,66,74,65,64,67,38,67,64,60,65,66,Right,32
Hans Nicolussi Caviglia,66,63,53,67,67,53,49,65,62,54,52,Right,24
Diogo Sousa,66,67,64,60,66,33,65,51,65,26,58,Right,25
Alexander Nollenberger,66,85,60,59,68,47,66,58,57,62,73,Right,27
Sam Nombe,66,91,65,54,65,31,70,55,64,64,82,Right,25
Ollie Norburn,66,69,61,65,66,64,75,65,63,69,69,Right,31
Osnar Noronha,66,61,69,46,61,27,61,50,65,49,71,Left,32
Andrija Novakovich,66,70,65,56,62,40,69,61,63,62,79,Right,27
Hernán Novick,66,57,67,73,63,34,50,74,54,68,49,Right,35
Nachon Nsingi,66,83,65,58,69,26,60,65,63,55,72,Left,23
Emmanuel Ntim,66,80,25,53,55,66,72,50,60,57,83,Right,28
Atdhe Nuhiu,66,30,65,58,60,39,83,63,67,66,81,Right,35
Sergio Núñez,66,72,67,49,64,18,54,41,65,47,65,Right,24
George Nurse,66,78,53,58,61,63,68,54,59,56,85,Left,25
Sverre Halseth Nypan,66,71,55,62,69,48,50,67,57,66,49,Right,17
Eoghan O'Connell,66,59,41,49,54,63,81,58,58,62,75,Right,29
Paudie O'Connor,66,49,25,40,49,64,81,35,60,54,74,Right,27
Dorinel Oancea,66,78,49,59,65,59,66,53,63,56,60,Right,27
Allen Obando,66,69,61,48,65,29,66,66,67,73,88,Right,18
Jordan Obita,66,64,58,64,63,62,74,64,64,68,72,Left,30
Yutaro Oda,66,77,58,60,67,39,52,64,64,55,67,Right,23
Mohamed Ofkir,66,84,62,57,67,30,60,60,62,61,59,Right,28
Nathanael Ogbeta,66,80,45,53,66,60,70,49,62,61,75,Left,23
Takuya Ogiwara,66,82,59,64,66,55,71,58,57,59,67,Left,24
Oh Ban Suk,66,34,31,43,48,66,74,46,50,63,75,Right,36
Yuki Ohashi,66,67,65,56,66,36,69,60,65,64,70,Right,28
Arthur Okonkwo,66,65,65,63,66,44,67,41,63,41,55,Right,23
Elías Rafn Ólafsson,66,68,68,55,66,33,67,48,55,45,68,Right,24
Kazeem Olaigbe,66,90,60,58,68,33,60,59,58,59,68,Right,21
Aaron Olanare,66,54,69,59,64,25,73,58,54,65,75,Left,30
Mathias Olesen,66,70,46,62,66,59,68,66,63,57,66,Right,23
Baltazar,66,67,54,62,68,61,68,61,64,59,61,Left,24
Gabriel Tigrão,66,79,66,51,68,30,72,51,70,63,84,Right,22
Eric Johana Omondi,66,82,62,62,64,43,61,67,56,62,69,Right,30
Nicholas Opoku,66,61,37,43,49,65,79,39,60,58,80,Right,26
Nathan Opoku,66,81,68,54,66,24,61,60,58,55,75,Right,23
Fredrik Oppegård,66,80,52,60,64,60,61,52,62,50,68,Left,22
Raul Opruț,66,82,36,55,62,60,71,52,57,61,76,Left,26
Ragnar Oratmangoen,66,70,57,62,66,35,59,63,63,64,57,Right,26
Jandro Orellana,66,60,44,64,64,66,53,64,66,57,56,Right,24
Alexander Oroz,66,76,63,61,68,27,60,58,58,64,71,Right,21
Bryant Ortega,66,73,61,64,66,60,57,68,68,52,54,Right,21
Ibrahim Osman,66,85,58,57,73,27,54,59,56,58,64,Right,19
Luciano Ospina,66,38,23,35,36,67,74,34,61,55,71,Right,33
Tomáš Ostrák,66,62,56,63,72,52,61,60,62,63,63,Right,24
Robin Østrøm,66,69,36,55,58,63,72,44,63,51,75,Right,22
Severin Ottiger,66,71,48,59,67,61,69,47,63,56,62,Right,21
David Otto,66,70,66,55,66,28,63,59,62,60,74,Right,25
Anas Ouahim,66,60,58,61,73,52,58,61,63,67,50,Right,26
Peter Ouaneh,66,66,30,47,45,65,77,40,48,64,81,Right,26
Owono,66,68,66,65,65,28,62,41,62,33,47,Right,23
Anthony Oyono,66,69,36,55,61,61,66,44,61,55,62,Right,23
Guillermo Pacheco,66,67,59,66,64,61,72,53,56,55,68,Right,35
Manuel Palacios,66,90,58,58,68,45,73,50,60,59,88,Right,31
Romal Palmer,66,60,53,58,66,61,67,65,68,66,55,Right,25
Radovan Pankov,66,52,27,39,42,67,73,35,63,51,70,Right,29
Sotirios Papagiannopoulos,66,56,39,54,58,63,77,53,63,66,74,Right,34
Merveille Papela,66,65,54,63,71,62,53,63,66,63,52,Right,23
Andrea Papetti,66,70,46,54,57,63,77,47,64,58,80,Right,22
Park Cheol Woo,66,70,46,56,64,61,64,55,63,57,51,Left,26
Álex Pastor,66,57,27,51,53,65,68,54,63,52,75,Right,24
David Pavelka,66,59,59,65,65,65,73,66,65,71,74,Right,33
Luis Pavia,66,79,52,61,63,28,61,68,65,65,55,Right,25
Patryk Peda,66,71,49,55,56,64,73,49,62,55,78,Right,22
Joey Pelupessy,66,60,54,61,64,64,68,59,65,66,69,Right,31
Diego Penny,66,66,68,56,64,62,69,48,57,54,67,Right,40
Philipp Pentke,66,65,66,62,67,31,66,42,62,63,67,Right,39
Mirnes Pepić,66,65,57,64,70,60,68,63,65,60,61,Right,28
Kwame Peprah,66,76,68,54,64,35,65,62,66,62,81,Left,23
Dani Pereira,66,80,53,63,72,58,64,64,64,70,59,Right,24
Patricio Pernicone,66,53,33,49,55,66,70,37,65,49,70,Right,23
Isak Pettersson,66,66,60,69,68,44,63,60,68,55,54,Left,27
Álex Petxa,66,70,49,63,62,61,66,58,62,50,68,Right,27
Franz Pfanne,66,57,47,48,54,64,78,50,64,63,68,Right,29
Killian Phillips,66,50,58,63,63,62,78,66,65,66,74,Right,22
Ashley Phillips,66,65,27,51,51,66,69,45,64,55,74,Right,19
Adam Phillips,66,73,64,66,66,60,65,66,67,64,67,Right,26
Dillon Phillips,66,66,65,62,66,46,65,20,67,46,59,Right,29
Daniel Phillips,66,76,51,57,62,62,79,52,58,64,73,Right,23
Hugo Picard,66,73,62,64,68,54,50,62,59,59,51,Right,21
Rodrigo Pinheiro,66,79,36,55,60,60,66,45,59,59,70,Right,22
Lenny Pintor,66,81,64,58,69,27,56,56,49,55,75,Right,24
Simon Pirkl,66,64,47,54,57,63,67,53,66,47,59,Left,27
Mihai Popescu,66,56,31,47,53,63,71,47,57,57,79,Right,31
Albert Posiadała,66,67,66,64,66,32,67,46,58,38,57,Right,21
Virgiliu Postolachi,66,68,66,54,61,33,72,55,65,65,77,Right,24
Darío Poveda,66,58,66,58,63,25,52,57,65,54,72,Right,27
Joe Powell,66,73,64,66,68,59,66,66,65,65,66,Left,25
Alvas Powell,66,92,45,55,63,58,74,59,60,59,82,Right,30
Nick Powell,66,65,67,67,67,53,67,67,64,68,75,Right,30
Ijiel Protti,66,76,62,60,67,24,59,64,64,51,67,Left,29
Dominik Prpić,66,71,26,39,55,65,72,36,66,60,76,Left,20
Kacper Przybyłko,66,59,64,57,62,27,76,66,68,63,80,Right,31
Christophe Psyché,66,36,40,50,49,63,79,38,65,57,72,Right,36
Arkadiusz Pyrka,66,84,59,59,65,60,53,58,56,58,62,Right,21
Stephen Quemper,66,79,35,59,66,60,72,62,56,66,78,Left,31
Joshué Quiñonez,66,58,31,52,51,66,66,37,66,53,72,Right,23
Wilson Quiñónez,66,64,65,66,63,24,68,35,63,36,47,Right,36
Stipe Radić,66,58,37,49,46,65,72,41,61,52,66,Right,24
Diego Ramírez,66,68,65,66,66,54,54,70,60,55,53,Right,29
Lilian Raolisoa,66,69,38,51,66,66,56,48,60,62,64,Right,24
Damian Rasak,66,70,55,58,63,63,76,61,63,56,74,Right,28
Robin Rasch,66,46,60,65,60,61,67,64,68,64,57,Right,30
Djorkaeff Reasco,66,76,67,54,65,33,74,60,59,73,78,Right,25
Constantin Reiner,66,39,29,54,40,65,78,56,58,48,72,Right,27
Hernán Rengifo,66,58,70,51,59,30,66,65,61,74,70,Right,41
Stije Resink,66,65,53,64,66,59,67,68,65,66,59,Right,21
Taylor Richards,66,73,61,63,70,50,66,66,60,68,60,Left,23
Florian Rieder,66,75,53,63,68,49,69,63,62,64,58,Right,28
Søren Rieks,66,61,70,64,68,62,71,66,64,70,68,Right,37
José-Enrique Ríos Alonso,66,71,36,52,54,66,68,40,64,54,72,Right,24
Simón Rivero,66,79,58,63,71,53,62,70,58,49,63,Left,21
Juan Rivero,66,79,65,61,69,42,55,61,48,55,62,Left,25
Marcos Riveros,66,63,49,64,66,66,69,66,68,49,65,Right,36
Paul Riveros,66,66,25,42,55,67,71,30,67,65,80,Right,27
Daniel Rivillo,66,81,49,56,61,63,54,58,60,47,58,Right,27
Marc Roberts,66,43,24,42,43,65,73,32,62,52,70,Right,34
Liam Roberts,66,65,64,63,66,47,66,50,61,54,62,Left,29
Matej Rodin,66,46,25,35,42,67,75,29,62,48,80,Right,28
Hernandes,66,81,62,55,67,31,68,57,63,61,80,Right,25
Tiago Dias,66,72,58,63,67,53,50,57,60,61,46,Left,26
Memo Rodriguez,66,63,63,64,67,49,57,65,62,64,56,Right,28
Randall Rodríguez,66,71,57,74,66,27,62,48,67,25,55,Right,20
Lucas Rodríguez,66,65,60,64,63,63,54,75,64,47,39,Right,31
Pablo Rodríguez,66,81,66,55,65,32,59,55,63,61,72,Right,23
David Rodríguez,66,81,51,57,64,61,66,51,54,58,71,Right,24
Robin Roefs,66,64,66,64,68,18,63,33,64,31,44,Left,21
Fabian Rohner,66,88,58,55,68,51,54,48,61,60,55,Right,26
Ole Romeny,66,67,70,58,67,29,66,62,65,65,63,Right,24
Marcel Rømer,66,56,51,60,63,63,77,56,61,64,67,Right,33
Fernando Romero,66,64,69,54,62,25,68,60,65,48,73,Right,24
Romero,66,87,57,60,69,34,42,59,55,63,47,Left,28
Romario Rösch,66,80,57,58,68,55,63,59,63,57,65,Right,25
Max Rosenfelder,66,58,22,48,51,67,61,46,66,49,73,Right,21
Mathias Ross,66,38,32,52,54,67,73,42,56,60,69,Right,23
Baptiste Roux,66,58,39,55,57,66,69,58,61,63,74,Left,24
Jesús Ruiz,66,71,58,62,72,51,60,53,64,50,65,Right,27
Milan Rundić,66,67,37,41,48,64,75,32,63,47,76,Left,32
Nazariy Rusyn,66,77,66,45,64,20,53,45,67,56,73,Right,25
Espen Ruud,66,46,65,71,65,64,73,69,70,68,67,Right,40
Noah Wail Jacob Sadaoui,66,81,65,57,66,31,66,60,57,52,70,Right,31
Richie Sagrado,66,75,46,56,67,60,66,48,64,46,70,Right,20
Ibrahim Said,66,82,57,57,71,24,44,62,59,57,45,Right,22
Íñigo Sainz-Maza,66,71,36,58,64,63,70,53,65,54,66,Right,26
Matheus Índio,66,68,41,57,63,63,72,53,63,54,68,Right,25
Lars-Jørgen Salvesen,66,66,66,53,60,38,79,55,65,60,84,Left,28
Nicolas Samayoa,66,55,34,40,41,64,81,26,65,50,77,Right,29
Christian Joel Sánchez,66,66,64,72,67,40,64,49,64,43,66,Left,25
Raúl Sánchez,66,67,66,64,65,55,67,60,58,59,71,Left,26
Luca Sangalli,66,71,57,67,70,58,61,67,64,67,63,Right,29
Marco Sangalli,66,69,69,66,66,53,61,66,61,70,62,Right,32
Jordán Santacruz,66,69,53,53,56,64,70,46,54,50,67,Right,28
Rodrigo Henrique,66,78,59,60,71,28,62,65,67,63,66,Right,31
Cristian Săpunaru,66,39,60,62,56,65,74,62,62,63,67,Right,40
Marco Saravia,66,51,44,43,48,68,68,32,60,54,67,Right,25
Bogdan Sarnavskyi,66,64,63,56,68,53,64,38,67,41,64,Right,29
Giacomo Satalino,66,68,64,56,69,21,66,21,60,41,48,Right,25
Giannis Satsias,66,74,58,59,66,60,65,64,67,62,69,Right,21
Leo Sauer,66,81,58,61,70,39,59,57,57,59,64,Right,18
Alexis Sauvage,66,69,67,63,66,44,63,26,52,45,65,Right,32
Gökhan Sazdağı,66,69,64,63,67,60,62,60,67,65,64,Right,29
Nicolas Schmid,66,63,65,68,70,31,65,44,58,35,57,Right,27
Joël Schmied,66,57,33,41,41,67,72,27,55,50,81,Right,25
Randy Schneider,66,75,56,63,69,37,54,69,56,70,57,Right,23
Augusto Schott,66,81,45,56,65,59,61,51,63,62,63,Right,24
Erik Schouten,66,54,34,48,50,68,68,38,61,61,68,Right,33
Tim Schreiber,66,69,64,61,70,29,63,42,57,35,56,Right,22
Luca Schuler,66,78,64,45,63,33,75,51,60,62,85,Right,25
Kevin Schumacher,66,83,60,58,67,33,70,57,60,49,77,Left,26
Marco Schuster,66,58,53,59,65,62,71,63,64,62,68,Right,28
Markus Schwabl,66,72,41,53,62,62,74,42,56,54,70,Right,34
Josh Scowen,66,59,54,61,64,64,73,63,64,62,74,Right,31
Sebastian S. Sebulonsen,66,82,59,59,63,57,74,51,60,57,78,Right,24
Demba Seck,66,75,65,57,73,30,53,50,49,60,60,Left,23
Jenson Seelt,66,65,35,48,50,65,71,45,63,55,77,Right,21
Telasco Segovia,66,66,54,64,67,53,57,63,72,65,49,Right,21
Václav Sejk,66,73,61,45,64,26,72,34,64,47,79,Right,22
Ayumu Seko,66,56,36,52,56,67,71,42,68,56,70,Right,24
Batuhan Şen,66,67,65,62,69,24,66,30,56,47,52,Right,25
Jota,66,65,56,66,70,58,62,68,67,69,59,Right,31
Cemali Sertel,66,70,38,59,63,63,68,50,63,53,74,Left,24
Filippo Sgarbi,66,57,29,39,44,66,75,26,60,60,76,Right,26
Joe Shaughnessy,66,62,23,47,51,67,70,41,63,56,73,Right,32
Evgeniy Shikavka,66,64,66,51,64,34,69,58,65,63,72,Right,31
Mahamé Siby,66,54,50,60,60,63,75,63,64,64,72,Left,28
Jörg Siebenhandl,66,67,64,66,66,46,64,48,66,28,63,Left,34
Benjamin Siegrist,66,66,63,59,67,34,65,49,67,39,59,Right,32
Dávid Sigér,66,63,57,62,60,63,69,66,68,64,68,Right,33
Viljami Sinisalo,66,68,65,66,68,27,64,37,56,35,54,Right,22
Sphephelo Sithole,66,65,58,60,63,64,75,64,68,66,77,Right,25
Mario Šitum,66,79,57,65,69,58,64,72,59,57,72,Right,32
Simon Skarlatidis,66,77,60,61,69,30,62,55,62,61,56,Right,33
Simon Skrabb,66,65,65,64,67,51,67,63,66,62,64,Left,29
Thierry Small,66,78,51,60,66,60,68,59,65,66,71,Left,20
Michael Smith,66,49,67,55,57,30,80,62,66,65,83,Right,32
Korey Smith,66,58,53,62,65,63,68,63,67,66,64,Right,33
Kyle Smith,66,69,26,50,58,64,70,35,64,55,68,Right,32
Franco Soldano,66,69,62,54,63,44,73,71,70,70,83,Right,30
Matteo Solini,66,42,36,42,47,67,73,35,60,61,70,Left,31
Song Ju Hun,66,57,35,44,46,63,77,40,63,58,89,Left,30
Patrick Sontheimer,66,68,50,60,68,60,68,65,67,65,51,Right,26
Sondre Sørli,66,90,59,62,66,53,59,63,60,66,63,Left,28
Joaquín Sosa,66,40,37,60,59,70,66,55,67,73,64,Left,22
Samuel Souprayen,66,57,36,59,62,64,74,55,65,68,75,Left,35
Cristian Souza,66,76,64,60,63,23,57,61,64,49,70,Right,29
Jack Sowerby,66,56,51,61,68,62,73,60,65,65,65,Right,29
Kevin Spadanuda,66,70,66,64,67,36,55,61,53,62,66,Right,27
Brodie Spencer,66,74,45,56,64,61,72,52,64,57,71,Right,20
Tommy St. Jago,66,74,32,52,59,64,71,48,63,66,77,Right,24
Michael Steinwender,66,42,29,44,40,66,75,31,62,61,72,Right,24
Adam Stejskal,66,70,62,56,69,21,65,36,57,22,42,Right,22
Daniel Stensson,66,49,60,65,63,62,67,64,65,65,61,Left,27
Luka Stojković,66,72,63,63,69,38,64,62,65,73,57,Right,20
Sebastian Stolze,66,78,60,59,67,32,61,59,59,54,72,Right,29
Mathías Suárez,66,69,46,61,63,61,60,56,67,63,57,Left,19
Anssi Suhonen,66,56,57,61,73,38,51,63,60,59,45,Right,23
Lukas Sulzbacher,66,77,51,61,67,61,66,62,68,60,61,Right,24
Mathis Suray,66,68,62,65,66,44,58,62,61,66,62,Right,23
Finn Surman,66,64,33,47,52,65,78,44,70,64,74,Right,20
Tobias Svendsen,66,80,54,59,68,53,70,61,60,65,65,Right,25
Max Svensson,66,81,59,60,70,31,47,60,60,60,48,Right,26
Svensson,66,77,66,59,66,41,66,57,62,60,75,Right,22
Iebe Swers,66,86,52,61,67,58,64,59,62,66,68,Right,27
Eddy Sylvestre,66,67,62,66,69,59,63,69,62,65,71,Left,25
Kajetan Szmyt,66,85,59,61,70,38,52,60,54,64,55,Right,22
Filip Szymczak,66,75,63,55,68,21,68,62,59,65,85,Right,22
Dawid Szymonowicz,66,58,36,53,59,65,70,39,63,52,71,Right,29
Ryan Tafazolli,66,38,28,42,46,65,76,31,64,60,70,Left,32
Edvard Sandvik Tagseth,66,78,53,62,68,59,65,62,61,64,63,Left,23
Mehdi Tahrat,66,44,26,54,52,66,72,60,61,59,70,Right,34
Scott Tanser,66,73,56,63,64,59,59,60,60,61,64,Left,29
Dylan Tavares,66,74,43,54,63,62,64,46,59,51,65,Left,28
Joe Taylor,66,85,65,49,64,35,68,54,63,64,78,Right,21
Junior Tchamadeu,66,82,54,57,66,58,71,55,61,62,73,Right,20
Henok Teklab,66,71,61,65,66,41,56,67,60,66,63,Right,25
Miro Tenho,66,52,23,49,50,66,71,56,65,54,72,Right,29
Casper Terho,66,76,63,61,66,36,56,57,61,60,52,Left,21
Serkan Emrecan Terzi,66,71,36,56,65,62,61,37,59,52,60,Left,20
Maximilian Thalhammer,66,43,46,57,61,63,75,54,62,48,70,Right,27
Niclas Thiede,66,65,65,61,70,44,64,31,63,33,61,Left,25
Ryan Thomas,66,69,59,68,69,57,61,73,68,72,56,Right,29
Luke Thomas,66,82,55,60,69,37,52,62,63,61,53,Left,25
Nigel Thomas,66,84,60,59,70,27,51,50,56,57,61,Right,22
George Thomason,66,63,58,62,66,62,66,66,65,68,59,Left,23
Angus Thurgate,66,66,56,63,67,59,68,67,62,58,64,Right,24
Sam Tickle,66,65,65,64,66,34,64,42,61,40,54,Left,22
Simy,66,42,69,45,64,28,74,46,72,71,74,Right,32
Agustín Toledo,66,59,40,58,60,65,60,55,64,48,59,Right,24
Mirko Tomianovic,66,80,63,60,67,52,70,63,58,66,65,Right,22
Juan Pablo Torres,66,64,49,62,67,53,48,64,70,50,50,Right,20
Edson Tortolero,66,76,66,65,63,36,67,70,59,63,78,Right,26
Mason Toye,66,72,69,44,61,30,62,42,54,59,74,Left,25
Brahim Traoré,66,67,30,43,48,66,71,32,52,60,77,Right,20
Charles Traoré,66,67,33,53,63,65,73,48,63,50,74,Left,32
Anton Tsarenko,66,72,52,61,71,36,50,66,63,62,50,Right,20
Blair Turgott,66,82,66,57,68,25,71,58,63,67,76,Right,30
Calvin Twigt,66,64,59,67,66,62,69,62,68,66,59,Right,21
Przemysław Tytoń,66,66,63,69,65,50,65,35,69,51,68,Right,37
Boné Uaferro,66,37,37,55,55,64,71,55,62,65,70,Right,32
Steven Ugarković,66,62,58,61,65,61,76,62,64,64,72,Right,30
Adrián Ugarriza,66,67,67,60,66,23,63,50,64,50,75,Right,27
Jacob Une-Larsson,66,66,44,53,49,65,72,44,58,60,75,Right,30
Bjørn Inge Utvik,66,41,39,49,52,66,76,39,65,68,70,Right,28
Pavle Vagić,66,69,53,59,66,62,78,54,60,60,76,Right,24
Anthony Valencia,66,84,59,59,73,44,44,57,51,62,53,Left,21
Pol Valentín,66,89,39,56,66,58,67,57,62,59,71,Right,27
Gonzalo Valle,66,66,65,60,70,26,60,40,63,39,54,Right,28
Damian van Bruggen,66,58,54,50,55,64,74,46,64,65,74,Right,28
Jochem van de Kamp,66,76,50,61,67,57,66,62,65,64,61,Right,20
Richard van der Venne,66,56,64,66,66,58,69,70,70,69,64,Left,32
Daniël van Kaam,66,64,56,65,67,60,62,66,66,64,55,Left,24
Robert-Jan Vanwesemael,66,75,49,60,68,56,56,60,64,47,57,Right,22
Ádám Varga,66,70,64,62,66,27,65,52,56,27,55,Right,25
Miguel Vargas,66,62,69,64,65,43,66,44,62,46,63,Right,28
Gonzalo Vega,66,57,68,64,74,51,52,73,58,66,57,Right,32
Bruno Veglio,66,63,57,64,61,67,57,63,69,52,50,Right,26
John Velásquez,66,70,65,62,67,43,54,68,60,53,51,Right,29
Tijs Velthuis,66,65,30,46,40,66,72,43,62,53,78,Left,22
Thibaud Verlinden,66,73,60,61,70,39,42,59,68,64,45,Right,25
Romeo Vermant,66,78,67,55,63,19,63,59,60,60,75,Right,20
Michael Verrips,66,67,64,68,67,17,63,35,63,28,53,Right,27
Simão Bertelli,66,68,65,64,67,27,66,34,58,38,55,Right,31
Viljar Helland Vevatne,66,65,58,56,61,64,77,40,63,68,78,Right,29
Josh Vickers,66,66,65,64,66,42,64,36,60,39,56,Right,28
Luca Vido,66,63,66,60,68,37,62,57,62,63,70,Right,27
Wilder Viera,66,59,32,56,54,62,71,55,55,55,66,Left,22
Vilarrasa,66,68,49,54,61,65,66,47,60,48,68,Left,25
Villahermosa,66,65,62,66,71,59,59,68,61,65,60,Right,23
Iván Villalba,66,62,33,49,49,65,69,43,65,57,73,Right,29
Álvaro Villete,66,65,63,62,63,26,67,36,68,38,54,Right,33
Lars Villiger,66,65,66,48,64,24,68,56,63,55,74,Right,21
Lars Vilsvik,66,63,57,63,64,62,71,64,67,65,70,Right,35
Ben Voll,66,67,64,65,68,24,65,32,60,59,56,Right,23
Julian von Moos,66,82,60,59,69,28,61,56,57,51,74,Left,23
Nicolas Vouilloz,66,66,28,46,45,65,78,32,63,65,77,Right,23
Stipe Vulikić,66,49,36,46,43,67,68,30,61,54,73,Right,23
Ibrahima Wadji,66,89,65,55,69,27,67,53,59,61,75,Right,29
Jack Walton,66,66,63,63,65,34,67,31,63,36,47,Right,26
Mateusz Wdowiak,66,91,57,57,68,42,59,55,62,63,70,Right,28
Leo Weinkauf,66,65,67,53,71,35,69,24,52,37,55,Right,28
Nelson Weiper,66,70,65,46,65,25,69,51,64,59,75,Right,19
Oscar Wendt,66,48,61,68,64,67,66,66,68,67,62,Left,38
Christopher Wernitznig,66,65,65,65,65,62,70,66,60,68,71,Right,34
Magnus Westergaard,66,73,56,61,66,60,70,64,65,60,73,Right,26
Niklas Wiemann,66,70,39,53,52,64,74,45,54,63,77,Left,25
Gustav Mendonca Wikheim,66,84,57,59,72,44,54,61,60,64,66,Right,31
Randell Williams,66,88,59,61,68,57,62,63,64,61,71,Left,27
Derrick Williams,66,66,46,58,62,63,77,50,64,66,78,Left,31
Brendan Wiredu,66,79,56,60,65,64,76,59,61,65,83,Right,24
Bobby Wood,66,75,67,57,66,27,68,40,61,59,79,Right,31
Ben Woodburn,66,71,63,63,70,41,52,62,62,63,50,Right,24
Scott Wootton,66,42,29,48,53,65,80,49,57,63,72,Right,33
Callum Wright,66,65,61,64,67,57,66,66,68,64,63,Right,24
Charlie Wyke,66,54,66,56,63,37,75,61,66,65,76,Right,31
Matthéo Xantippe,66,68,38,56,65,62,60,48,55,55,66,Left,22
Ayman Yahya,66,84,60,58,66,32,65,61,64,56,69,Left,23
Malick Yalcouyé,66,82,55,55,68,61,66,63,64,66,68,Right,18
Yang Liyu,66,83,64,61,63,43,73,67,65,65,81,Right,27
William Yarbrough,66,65,64,66,66,58,66,52,65,48,72,Right,35
Patrick Yazbek,66,68,54,62,62,62,73,64,62,61,70,Right,22
Dru Yearwood,66,73,54,59,68,64,77,58,68,62,76,Right,24
Kusini Yengi,66,81,65,54,68,30,79,56,60,64,85,Right,25
Erdoğan Yeşilyurt,66,73,63,60,67,55,69,58,56,61,69,Right,30
Bertuğ Yıldırım,66,70,64,48,62,32,72,54,59,58,78,Right,22
Daisuke Yokota,66,73,52,61,71,46,48,59,64,61,42,Left,24
Yoon Jong Gyu,66,78,38,57,62,61,65,62,61,47,68,Right,26
Kyohei Yoshino,66,63,54,53,60,63,74,56,62,58,71,Right,29
Jamie Young,66,65,66,64,67,48,65,60,63,48,69,Left,39
Wilitty Younoussa,66,70,48,59,71,67,56,62,67,64,58,Right,23
Bendjaloud Youssouf,66,74,50,59,64,58,65,58,68,62,67,Right,30
Griffin Yow,66,65,63,60,69,33,47,67,66,55,38,Right,21
Yun Il Lok,66,70,57,62,67,63,61,58,65,55,67,Right,32
Yun Suk Young,66,72,53,59,61,62,73,54,59,66,74,Left,34
Cristian Zabala,66,65,53,66,66,59,69,67,62,60,68,Right,26
Vasilis Zagaritis,66,81,42,54,63,60,62,48,63,57,66,Left,23
Nicolás Zalazar,66,67,36,37,45,66,74,22,58,56,78,Right,27
Maximiliano Zalazar,66,71,62,59,69,31,49,61,52,61,57,Right,23
Jan Žambůrek,66,65,58,61,67,60,65,66,66,63,66,Right,23
Edgar Zaracho,66,56,53,68,61,51,61,76,60,58,63,Right,34
Aaron Zehnter,66,75,54,64,64,61,60,65,66,53,65,Left,19
Ekain,66,72,64,60,67,28,65,60,67,58,72,Right,30
Zhang Xizhe,66,74,60,66,67,48,64,70,64,65,66,Right,33
Zhang Yuning,66,73,67,58,60,30,77,62,63,60,80,Right,27
Milen Zhelev,66,67,30,47,56,64,78,35,67,63,61,Right,31
Ervin Zorrilla,66,73,68,47,61,21,53,55,60,49,71,Right,28
Hendrick Zuck,66,62,51,65,67,63,57,66,67,60,60,Left,34
Dario Župarić,66,44,22,45,55,65,76,43,64,61,73,Right,32
Lovro Zvonarek,66,70,57,65,68,34,53,69,55,67,48,Right,19
Aly Abeid,65,74,42,53,62,59,71,42,60,58,74,Left,26
Dirk Abels,65,61,43,55,61,62,71,40,61,63,70,Right,27
Paulos Abraham,65,81,61,56,68,28,57,61,62,65,69,Right,22
Amir Abrashi,65,43,51,59,67,59,72,58,72,62,46,Right,34
Miguel Acosta,65,68,62,65,64,46,62,49,65,39,67,Right,22
Corey Addai,65,65,63,65,65,22,64,53,61,61,56,Right,26
Jayden Addai,65,86,59,57,69,29,52,55,54,60,63,Left,19
Rio Adebisi,65,81,44,54,62,58,69,50,55,55,81,Left,23
Victor Adeboyejo,65,75,65,51,64,27,70,52,64,52,79,Right,26
Michel Ndary Adopo,65,58,56,62,65,66,63,61,68,63,66,Right,24
Nikolas Agrafiotis,65,72,65,47,61,26,73,56,61,65,77,Right,24
Brandon Aguilera,65,60,55,63,65,46,49,70,66,59,46,Left,21
Patrick Agyemang,65,55,68,46,61,21,62,52,58,52,68,Right,23
Gassan Ahadme,65,67,63,51,61,30,70,57,62,60,77,Right,23
Erik Ahlstrand,65,77,56,59,65,36,57,62,58,65,54,Left,22
Will Aimson,65,53,33,48,50,64,69,39,62,55,77,Right,30
David Ajiboye,65,91,56,55,67,38,68,56,56,62,75,Right,25
Clément Akpa,65,68,41,52,62,62,60,45,62,58,68,Left,22
Aksel Aktaş,65,67,59,60,66,44,60,65,63,60,56,Right,25
Hamdi Akujobi,65,74,46,61,63,58,70,55,63,59,62,Right,24
Abdulaziz Al Bishi,65,85,57,60,69,28,63,59,55,65,78,Left,30
Mohammed Al Dawsari,65,78,33,53,61,59,66,48,55,46,62,Right,25
Ali Al Hassan,65,67,51,60,63,60,69,60,59,60,65,Right,27
Abdullah Al Khatib,65,74,28,49,58,62,74,32,60,48,77,Right,29
Mohammed Al Majhad,65,67,54,61,63,62,65,60,61,62,63,Right,28
Abdullah Al Mayoof,65,57,70,74,61,27,70,68,60,56,54,Right,37
Saeed Al Muwallad,65,71,47,64,62,56,74,62,58,48,66,Right,33
Sumayhan Al Nabit,65,77,59,58,67,30,53,62,55,49,56,Right,28
Abdulrahman Al Obud,65,88,57,55,67,45,57,55,54,49,68,Right,29
Madallah Al Olayan,65,71,46,59,62,60,73,60,63,60,71,Right,30
Saeed Al Rubaie,65,63,25,44,43,63,75,29,58,51,75,Right,30
Yahia Al Shehri,65,49,60,70,68,33,39,75,68,72,35,Left,34
Amir Al-Ammari,65,68,57,65,65,60,74,59,62,63,61,Left,27
